OBJECTID,FULL_,GEOID,LABEL,STAETFP,COUNTY,County_Pos_Cases,County_Population,County_Rate_Per_100_000,County_Deaths,Rural
1,Saguache County,8109,Saguache,8,SAGUACHE,119,6824,1743.85,2,1
2,Sedgwick County,8115,Sedgwick,8,SEDGWICK,25,2229,1121.58,1,1
3,Cheyenne County,8017,Cheyenne,8,CHEYENNE,14,1825,767.12,,1
4,Custer County,8027,Custer,8,CUSTER,19,5059,375.57,,1
5,La Plata County,8067,La Plata,8,LA PLATA,320,56272,568.67,2,1
6,San Juan County,8111,San Juan,8,SAN JUAN,6,726,826.45,,1
7,Pitkin County,8097,Pitkin,8,PITKIN,258,17756,1453.03,2,1
8,Park County,8093,Park,8,PARK,80,18844,424.54,1,1
9,Alamosa County,8003,Alamosa,8,ALAMOSA,284,16181,1755.14,9,1
10,Prowers County,8099,Prowers,8,PROWERS,117,12122,965.19,,1
11,Moffat County,8081,Moffat,8,MOFFAT,51,13252,384.85,1,1
12,Jefferson County,8059,Jefferson,8,JEFFERSON,7168,583081,1229.33,299,0
13,Summit County,8117,Summit,8,SUMMIT,563,30983,1817.13,4,1
14,Pueblo County,8101,Pueblo,8,PUEBLO,1582,168110,941.05,40,0
15,Boulder County,8013,Boulder,8,BOULDER,4996,327164,1527.06,84,0
16,Denver County,8031,Denver,8,DENVER,15947,729239,2186.8,440,0
17,Montrose County,8085,Montrose,8,MONTROSE,420,42765,982.11,13,1
18,Eagle County,8037,Eagle,8,EAGLE,1342,55070,2436.9,10,1
19,San Miguel County,8113,San Miguel,8,SAN MIGUEL,100,8174,1223.39,,1
20,Costilla County,8023,Costilla,8,COSTILLA,34,3872,878.1,1,1
21,Broomfield County,8014,Broomfield,8,BROOMFIELD,789,70762,1115.01,39,0
22,Chaffee County,8015,Chaffee,8,CHAFFEE,370,20361,1817.2,20,1
23,Crowley County,8025,Crowley,8,CROWLEY,80,6032,1326.26,1,1
24,Fremont County,8043,Fremont,8,FREMONT,467,47645,980.17,1,1
25,Huerfano County,8055,Huerfano,8,HUERFANO,29,6854,423.11,2,1
26,Delta County,8029,Delta,8,DELTA,195,31173,625.54,4,1
27,Garfield County,8045,Garfield,8,GARFIELD,1063,60168,1766.72,5,0
28,Rio Blanco County,8103,Rio Blanco,8,RIO BLANCO,25,6307,396.38,,1
29,Morgan County,8087,Morgan,8,MORGAN,814,28984,2808.45,48,1
30,Lincoln County,8073,Lincoln,8,LINCOLN,24,5692,421.64,,1
31,Montezuma County,8083,Montezuma,8,MONTEZUMA,182,26160,695.72,5,1
32,Adams County,8001,Adams,8,ADAMS,11831,517885,2284.48,248,0
33,Mineral County,8079,Mineral,8,MINERAL,21,764,2748.69,,1
34,Otero County,8089,Otero,8,OTERO,115,18281,629.07,6,1
35,Phillips County,8095,Phillips,8,PHILLIPS,37,4278,864.89,,1
36,Ouray County,8091,Ouray,8,OURAY,32,4934,648.56,1,1
37,Bent County,8011,Bent,8,BENT,12,5798,206.97,,1
38,Archuleta County,8007,Archuleta,8,ARCHULETA,61,14002,435.65,,1
39,Routt County,8107,Routt,8,ROUTT,187,25652,728.99,8,1
40,Hinsdale County,8053,Hinsdale,8,HINSDALE,3,819,-1,,1
41,Weld County,8123,Weld,8,WELD,5392,323763,1665.42,156,0
42,Larimer County,8069,Larimer,8,LARIMER,3500,356938,980.56,55,0
43,Lake County,8065,Lake,8,LAKE,117,8081,1447.84,,1
44,Rio Grande County,8105,Rio Grande,8,RIO GRANDE,114,11238,1014.42,2,1
45,Gilpin County,8047,Gilpin,8,GILPIN,21,6215,337.89,,1
46,Yuma County,8125,Yuma,8,YUMA,179,10063,1778.79,1,1
47,Jackson County,8057,Jackson,8,JACKSON,9,1383,650.76,,1
48,Kit Carson County,8063,Kit Carson,8,KIT CARSON,103,7128,1445.01,3,1
49,Clear Creek County,8019,Clear Creek,8,CLEAR CREEK,63,9740,646.82,1,1
50,Logan County,8075,Logan,8,LOGAN,1081,21914,4932.92,10,1
51,Washington County,8121,Washington,8,WASHINGTON,78,4742,1644.88,,1
52,Douglas County,8035,Douglas,8,DOUGLAS,3296,351528,937.62,63,0
53,Conejos County,8021,Conejos,8,CONEJOS,52,8161,637.18,,1
54,El Paso County,8041,El Paso,8,EL PASO,8459,722493,1170.81,187,0
55,Kiowa County,8061,Kiowa,8,KIOWA,3,1395,-1,,1
56,Teller County,8119,Teller,8,TELLER,192,25355,757.25,4,1
57,Gunnison County,8051,Gunnison,8,GUNNISON,297,17495,1697.63,7,1
58,Baca County,8009,Baca,8,BACA,23,3556,646.79,,1
59,Elbert County,8039,Elbert,8,ELBERT,180,26686,674.51,3,1
60,Mesa County,8077,Mesa,8,MESA,1015,154933,655.12,8,0
61,Dolores County,8033,Dolores,8,DOLORES,3,2037,-1,,1
62,Arapahoe County,8005,Arapahoe,8,ARAPAHOE,11142,656822,1696.35,377,0
63,Las Animas County,8071,Las Animas,8,LAS ANIMAS,44,14493,303.59,1,1
64,Grand County,8049,Grand,8,GRAND,134,15718,852.53,1,1
